所购商品,数量,购买日期,金额（元）,类别,备注,购物平台
新时代,1条,2025年3月26日,105,抽,颜勇,线下
干扣,1碗,2025年3月27日,7,吃,元元,线下
锋味派意面,10盒,2025年3月27日,169,吃,抖音,线上
水果,,2025年3月29日,21.1,吃,优尔惠,线下
维达卷纸,,2025年3月29日,20,生活用品,优尔惠,线下
酸奶,1瓶,2025年3月30日,13.9,喝,鲜果帮,线下
塔斯丁,,2025年3月30日,26.91,吃,塔斯丁,线上
饮料,,2025年4月1日,10,喝,颜勇,线下
红双喜+火机,1包,2025年4月1日,20,抽,颜勇,线下
新时代,1条,2025年4月1日,105,抽,颜勇,线下
雷鸟V3,,2025年4月1日,1299,工作花销,陈子龙,转账
米粉,1碗,2025年4月2日,7,吃,元元,线下
饮料,1瓶,2025年4月3日,3.4,喝,优尔惠,线下
酸奶零食,,2025年4月5日,75.75,喝,鲜果帮,线下
黄金叶,1包,2025年4月5日,15,抽,,线下
零食鸭肉牛肉,2包,2025年4月5日,24.5,吃,优尔惠,线下
瑞幸,1杯,2025年4月6日,15.16,喝,,线下
新时代,1条,2025年4月6日,105,抽,颜勇,线下
滴滴送上课,1次,2025年4月6日,16.03,女儿费用,,线上
回来共享单车,1次,2025年4月6日,4,女儿费用,,线上
中国电信,,2025年4月6日,200,水电气话费,,
白桦树汁,10盒,2025年4月7日,11.9,喝,粒之园,抖音
眼镜,,2025年4月7日,400,工作花销,陈子龙,转账
牛肉筋,1袋,2025年4月7日,6.6,吃,吉食赞,抖音
眼镜,1副,2025年4月7日,333,女儿费用,陈子龙,转账
水果刺客,1袋,2025年4月8日,65.9,吃,一一果业,线下
咖啡,,2025年4月10日,5,喝,颜勇,线下
可乐,,2025年4月10日,4,喝,民润,线下
新时代,1条,2025年4月10日,105,抽,颜勇,线下
利群+火机,1包,2025年4月10日,24,抽,,线下
元气森林,1瓶,2025年4月12日,5.4,喝,优尔惠,线下
刘一泡,5袋,2025年4月12日,66.9,吃,抖音,线上
回力拖鞋,1双,2025年4月12日,26.87,生活用品,拼多多,线上
锋味派意大利面,10盒,2025年4月13日,169,吃,抖音,线上
猪肉铺,,2025年4月13日,33.49,吃,戴永红,线下
水果,,2025年4月13日,56.04,吃,鲜果帮,线下
统一奶茶,1瓶,2025年4月14日,4,喝,民润,线下
无糖可乐,1瓶,2025年4月14日,4,喝,民润,线下
新时代,1条,2025年4月14日,105,抽,颜勇,线下
湖南省税务局,,2025年4月14日,337.16,保险/医疗,4月,灵活医保
Grok充值,USD30,2025年4月15日,219.75,工作花销,,线上
干扣,1碗,2025年4月15日,7,吃,元元,线下
无糖可乐,1瓶,2025年4月16日,3,喝,颜勇,线下
无糖可乐,1瓶,2025年4月16日,3,喝,民润,线下
干扣,1碗,2025年4月16日,7,吃,元元,线下
新时代,1条,2025年4月19日,105,抽,颜勇,线下
黄鹤楼,1包,2025年4月19日,20,抽,民润,线下
水果,,2025年4月19日,50.5,吃,一一果业,线下
串串,,2025年4月19日,9.4,吃,中心医院新家宜,线下
烤饼,2个,2025年4月19日,3,吃,,线下
中心医院度拉糖肽,5支,2025年4月19日,185.02,保险/医疗,,线下
中心医院挂号费,,2025年4月19日,16,保险/医疗,,线下
停车费,,2025年4月19日,5,车,,线下
洗车,,2025年4月19日,50,车,瑞凯,线下
佳帮手懒人拖把,1套,2025年4月20日,79.8,生活用品,抖音,线上
沫檬地板清洁剂,1瓶,2025年4月20日,39.9,生活用品,抖音,线上
干扣,1碗,2025年4月21日,7,吃,元元,线下
元气森林,1瓶,2025年4月23日,5,喝,颜勇,线下
新时代,1条,2025年4月24日,105,抽,颜勇,线下
常德鸭霸王,1份,2025年4月24日,30.14,吃,美团,线上
红双喜,1包,2025年4月25日,22,抽,颜勇,线下
瑞幸,1杯,2025年4月26日,9.88,喝,,线下
零食水果,,2025年4月26日,137.37,吃,鲜果帮,线下
黄金叶,1包,2025年4月27日,15,抽,颜勇,线下
蜜雪冰城,2杯,2025年4月27日,15,女儿费用,,线下
可乐,1瓶,2025年4月29日,3,喝,颜勇,线下
新时代,1条,2025年4月29日,105,抽,颜勇,线下
冰淇淋和饮料,,2025年4月30日,36,喝,优尔惠,线下
干扣,1碗,2025年4月30日,7,吃,元元,线下
塔斯丁,1份,2025年5月2日,26.8,吃,美团,线上
泡菜,1份,2025年5月3日,22.6,吃,初鲜泡菜屋,线下
水果零食,,2025年5月4日,113.27,吃,鲜果帮,线下
电话费,,2025年5月8日,199.6,水电气话费,,线上
7号电池,4节,2025年5月9日,10,生活用品,严勇,线下
戴森吸头,1个,2025年5月9日,170,生活用品,拼多多,线上
咖啡,1杯,2025年5月9日,15.72,喝,瑞幸,线下
饮料,1瓶,2025年5月9日,4,喝,,线下
杨梅饮料,1杯,2025年5月9日,15.72,女儿费用,瑞幸,线下
新时代+双喜,1条+1包,2025年5月9日,121,抽,严勇,线下
新海思减肥药,2盒,2025年5月9日,369,保险/医疗,淘宝,线上
麦富迪猫粮（15.2斤）,1袋,2025年5月9日,369,猫,拼多多,线上
水果,,2025年5月10日,125.9,吃,一一果业,线下
真三国无双起源,1份,2025年5月10日,349,玩,Steam,线上
水果花生,,2025年5月11日,18.2,吃,优尔惠,线下
干扣,1碗,2025年5月12日,7,吃,圆圆早餐店,线下
黄山,1包,2025年5月12日,13,抽,民润,线下
Github Copilot（预充值）,USD10,2025年5月12日,75.12,工作开销,海南莱成玖,线上
烤饼,2个,2025年5月13日,3.5,吃,云朵,线下
LAVAZZA咖啡豆,2KG,2025年5月13日,214,喝,拼多多,线上
雪碧,1瓶,2025年5月13日,4,喝,民润,线下
新时代,1条,2025年5月13日,105,抽,严勇,线下
灵活医保,,2025年5月13日,337.16,保险/医疗,5月,线上
米粉+油条+春卷,,2025年5月14日,9,吃,,线下
干扣,1碗,2025年5月16日,7,吃,圆圆早餐店,线下
塔斯丁汉堡,2个,2025年5月17日,16.9,吃,抖音,线上
零食水果+烤肠,,2025年5月17日,71.1,吃,鲜果帮,线下
咖啡,1杯,2025年5月17日,9.88,喝,瑞幸,线下
饮料,1杯,2025年5月17日,5.1,女儿费用,优尔惠,线下
红茶,1杯,2025年5月18日,15,喝,古茗,线下
生可乐,1瓶,2025年5月18日,4,喝,戴永红,线下
饮料,1杯,2025年5月18日,4,喝,优尔惠,线下
饮料,1杯,2025年5月18日,4,喝,蜜雪冰城,线下
抹茶,1杯,2025年5月18日,17,女儿费用,古茗,线下
中南海+火机,1包,2025年5月18日,27,抽,,线下
新时代,1条,2025年5月18日,105,抽,严勇,线下
百度网盘,,2025年5月18日,28,工作开销,我他妈忘记取消了,线上
共享单车,,2025年5月18日,4,车,永安行,线上
城市理享木薯猫砂,2.5斤*8,2025年5月18日,86.9,猫,淘宝,线上
干扣,1碗,2025年5月19日,7,吃,圆圆早餐店,线下
忘记了,,2025年5月19日,12.3,吃,,线下
Grok（未成功扣款）,USD20,2025年5月19日,149.73,工作开销,我他妈忘记取消了,线上
烤饼,2个,2025年5月20日,4,吃,云朵,线下
干扣,1碗,2025年5月20日,7,吃,圆圆早餐店,线下
干扣,1碗,2025年5月21日,7,吃,圆圆早餐店,线下
比亚蒂双阀二手摩卡壶,1个 ,2025年5月21日,170,生活用品,咸鱼,线上
戳戳乐（六一礼物）,1套,2025年5月21日,58,女儿费用,抖音,线上
干扣,1碗,2025年5月23日,7,吃,圆圆早餐店,线下
零食水果,,2025年5月23日,39,吃,一一果业,线下
重庆小面,,2025年5月24日,30,吃,中午+晚上,线下
重庆小面（面肠水）,,2025年5月24日,47,女儿费用,中午+晚上,线下
蜜雪冰城,1杯,2025年5月24日,5,女儿费用,蜜雪冰城,线下
新时代+别的烟,1条+1包,2025年5月24日,120,抽,严勇,线下
零食水果,,2025年5月25日,68.93,吃,鲜果帮,线下
停车费,,2025年5月25日,5,车,开药,线下
度拉糖肽,4支,2025年5月25日,148.01,保险/医疗,中心医院,线下
挂号,,2025年5月25日,24,保险/医疗,中心医院,线下
包子油条,,2025年5月26日,5,吃,,线下
干扣,1碗,2025年5月28日,7,吃,圆圆早餐店,线下
新时代,1条,2025年5月28日,105,抽,严勇,线下
干扣,1碗,2025年5月29日,7,吃,圆圆早餐店,线下
蜜雪冰城,1杯,2025年5月30日,6,喝,蜜雪冰城,线下
蜜雪冰城,1杯,2025年5月30日,5,女儿费用,蜜雪冰城,线下
火机,1个,2025年5月30日,2,抽,严勇,线下
米粉,1碗,2025年5月31日,6,吃,香波面馆,线下
春卷,2个,2025年5月31日,3,吃,,线下
饮料,3瓶,2025年6月1日,8.7,喝,优尔惠+严勇,线下
湘潭供电分公司,,2025年6月1日,200,水电气话费,,线上
中国电信,,2025年6月2日,200,水电气话费,话费,线上
水果,,2025年6月2日,57.1,吃,一一果业,线下
干扣,1份,2025年6月2日,7,吃,圆圆早餐店,线下
煎饼,1个,2025年6月3日,2,吃,,线下
油条+春卷,,2025年6月3日,3,吃,,线下
新时代,1条,2025年6月3日,105,抽,严勇,线下
油条+春卷,,2025年6月5日,3,吃,,线下
烤饼,1个,2025年6月5日,2,吃,,线下
手工牛肉汉堡,1份,2025年6月5日,44.8,吃,美团,线上
饮料,,2025年6月6日,10.4,喝,戴永红,线下
陈皮白茶,一盒,2025年6月6日,36,喝,抖音,线上
干扣,1份,2025年6月6日,7,吃,圆圆早餐店,线下
水果,,2025年6月7日,46.2,吃,一一果业,线下
杨枝甘露,1杯,2025年6月8日,9,喝,蜜雪冰城,线下
牛肉馄饨+撸串,,2025年6月8日,39,吃,,线下
新时代+火机,1条,2025年6月8日,107,抽,严勇,线下
饮料,1瓶,2025年6月9日,4,喝,民润,线下
米粉三两,1碗,2025年6月10日,7,吃,圆圆早餐店,线下
烤肠,2根,2025年6月10日,8,吃,鲜果帮,线下
水果,,2025年6月10日,45.22,吃,鲜果帮,线下
饮料,1瓶,2025年6月11日,5,喝,民润,线下
肉干,,2025年6月11日,48.79,吃,戴永红,线下
烤饼+油条+春卷,,2025年6月12日,5,吃,,线下
干扣,1份,2025年6月13日,7,吃,圆圆早餐店,线下
新时代+另外一包烟,1条+1包,2025年6月13日,117,抽,严勇,线下
霸王茶几,1杯,2025年6月14日,20,喝,霸王茶几,线下
东方树叶,1瓶,2025年6月14日,7,喝,天福,线下
霸王茶几,1杯,2025年6月14日,19,女儿费用,霸王茶几,线下
新驯龙高手,1张,2025年6月14日,34,女儿费用,美团,线上
新驯龙高手,1张,2025年6月14日,34,玩,美团,线上
乐摩吧,1次,2025年6月14日,15,玩,天虹影院,线下
薯片,1包,2025年6月14日,5,吃,新家宜,线下
瑞兴,1杯,2025年6月15日,10,喝,瑞幸咖啡,线下
瑞兴,1杯,2025年6月15日,12.16,喝,瑞幸咖啡,线下
水果,,2025年6月15日,60.1,吃,一一果业,线下
一包烟,1包,2025年6月15日,25,抽,严勇,线下
停车费,,2025年6月15日,5,车,送崽上跳舞课,线下
罗尔德达尔作品集,1套,2025年6月15日,118.09,女儿费用,京东,线上
烤饼+油条+春卷,,2025年6月16日,5,吃,,线下
干扣,1份,2025年6月17日,7,吃,圆圆早餐店,线下
吸尘器滤芯,1个,2025年6月17日,29.1,生活用品,淘宝,线上
锋味派意大利面（10盒）,1箱,2025年6月18日,169,吃,抖音,线上
咖啡滤纸,1包,2025年6月18日,7.82,生活用品,拼多多,线上
新时代,1条,2025年6月18日,105,抽,严勇,线下
咖啡滤纸,2包,2025年6月18日,7.82,喝,拼多多,线上
禄茗广式茶点,1份,2025年6月19日,26.4,吃,美团,线上
肯德基,1份,2025年6月19日,24.9,吃,KFC,线下
干扣,1份,2025年6月19日,7,吃,圆圆早餐店,线下
湾仔粥店,1份,2025年6月21日,60,女儿费用,湾仔粥店,线下
湾仔粥店,1套,2025年6月21日,60,吃,湾仔粥店,线下
水果零食,,2025年6月21日,60.76,吃,鲜果邦,线下
零食,,2025年6月21日,77.26,吃,戴永红,线下
新时代+天天享受,,2025年6月22日,126,抽,颜勇商店,线下
瑞幸,1杯,2025年6月22日,12.16,喝,瑞幸咖啡,线下
饮料,,2025年6月23日,4,喝,民润,线下
干扣,1份,2025年6月24日,7,吃,圆圆早餐店,线下
干扣,1份,2025年6月25日,7,吃,圆圆早餐店,线下
干扣,1份,2025年6月26日,7,吃,圆圆早餐店,线下
干扣,1份,2025年6月27日,7,吃,圆圆早餐店,线下
戴森滤芯,1个,2025年6月27日,29.1,生活用品,淘宝,线上
书亦烧仙草,2杯,2025年6月27日,26,喝,书亦烧仙草,线下
国家税务总局湖南省税务局,,2025年6月28日,674.32,保险/医疗,6-7月份医保,线上
沐浴露,1瓶,2025年6月28日,3.9,生活用品,优尔惠超市,线下
饮料,1瓶,2025年6月28日,12,喝,果小二生鲜超市,线下
新时代+天天向上,1条+1包,2025年6月28日,127,抽,颜勇商店,线下
六神沐浴露+肥皂,1瓶+1包,2025年6月28日,45.8,生活用品,拼多多,线上
零食,,2025年6月29日,14,吃,戴永红,线下
看牙拍片,1词,2025年6月29日,50,保险/医疗,江南口腔,线下
零食,,2025年6月29日,60.39,吃,鲜果邦湘潭板塘店,线下
椰子糖,1包,2025年6月29日,3.2,吃,戴永红,线下
茉莉花茶,250g,2025年6月29日,29.9,喝,抖音,线上
青柑普洱,500g,2025年6月29日,54.8,喝,抖音,线上
矿砂,40斤,2025年6月29日,61.74,猫,淘宝,线上
发夹,6支,2025年6月29日,11.9,生活用品,淘宝,线上
飞科电动剃头刀,1只,2025年6月29日,129,生活用品,淘宝,线上
干扣,1份,2025年7月1日,7,吃,圆圆早餐店,线下
天天向上,1包,2025年7月1日,18,抽,严玉华,线下
奶茶,1杯,2025年7月1日,16,喝,古茗,线下
奶茶,1杯,2025年7月1日,16,女儿费用,古茗,线下
电费,1次,2025年7月1日,300,水电气话费,支付宝,线上
干扣,1份,2025年7月2日,7,吃,圆圆早餐店,线下
米粉,1份,2025年7月3日,7,吃,圆圆早餐店,线下
新时代,1条,2025年7月3日,105,抽,颜勇商店,线下
电话费,1次,2025年7月4日,199.59,水电气话费,支付宝,线上
烤饼,,2025年7月4日,3,吃,云朵）,线下
油条春卷,,2025年7月4日,3,吃,张波,线下
快餐,,2025年7月5日,54.9,吃,肯德基,线下
天天向上,,2025年7月5日,18,抽,严玉华,线下
开度拉糖肽停车费,,2025年7月5日,5,车,深圳市顺易通信息科技有限公司,线下
医疗开销,,2025年7月5日,185.02,保险/医疗,湘潭市中心医院,线下
汉堡啥的,,2025年7月5日,29.9,吃,麦当劳,线下
医疗开销,,2025年7月5日,24,保险/医疗,湘潭市中心医院,线下
零食,,2025年7月6日,8.71,吃,鲜果邦湘潭板塘店,线下
水果,,2025年7月6日,135.54,吃,鲜果邦湘潭板塘店,线下
零食,,2025年7月6日,17,吃,晖,线下
早餐,,2025年7月7日,7,吃,元元,线下
香烟,,2025年7月8日,108,抽,颜勇商店,线下
65362112-2店订单,,2025年7月8日,3.5,吃,岳塘区江南客包点,线下
早餐,,2025年7月9日,7,吃,元元,线下
早餐,,2025年7月10日,7,吃,元元,线下
Github Copilot ,,2025年7月11日,75.12,工作开销,USD10,线上
汉堡啥的,,2025年7月11日,33,吃,塔斯汀板塘店,线下
干扣,1碗,2025年7月11日,7,吃,元元,线下
云烟,,2025年7月12日,20,抽,湘潭市岳塘区民润便利超市,线下
7-ELEVEn湖南湘潭中心店A消费,,2025年7月12日,5,喝,7-ELEVEN湖南,线下
瑞幸,,2025年7月12日,13.9,喝,luckin coffee,线下
瑞幸,,2025年7月12日,13.12,喝,luckin coffee,线下
瑞幸,,2025年7月12日,22.88,喝,luckin coffee,线下
